city,address,zip,state,id,org_id
Lompoc,325 N. Second Street,93436,CA,1,
Carpinteria,941 Walnut Avenue,93013,CA,2,
Santa Barbara,1532 Castillo Street,93101,CA,3,"2, 863"
Santa Barbara,721 Spring Street,93103,CA,8,7
Santa Barbara,327 E. Victoria Street,93101,CA,10,6
Santa Barbara,1107 San Andres Street,93101,CA,11,9
Santa Barbara,2021 Castillo Street,93105,CA,12,10
Santa Barbara,227 W. Haley Street,93101,CA,13,10
Santa Barbara, 2434 Bath Street,93105,CA,14,10
Santa Barbara,1515 Bath Street,93101,CA,15,14
Lompoc ,1100 W Laurel Avenue,93436,CA,16,15
Santa Barbara ,234 Camino del Remedio,93110,CA,17,15
Santa Barbara,535 E. Yanonali Street,93103,CA,18,826
Santa Barbara,P.O. Box 446,93102,CA,19,827
Santa Barbara,1227 San Andres St,93101,CA,20,827
Santa Barbara ,731 E Haley St,93103,CA,21,827
Santa Barbara,23 W Mission St,93101,CA,22,827
Santa Barbara,231 W Haley St,93101,CA,23,827
Santa Barbara,1818 Bath Street,93101,CA,24,830
Santa Barbara ,604 N. Kellog Avenue,93111,CA,25,831
Santa Barbara,832 Jennings Street,93103,CA,26,832
Santa Barbara,1121 Walnut Ave,93101,CA,27,833
Santa Barbara,5018 Calle Real Road,93111,CA,28,833
Santa Barbara,400 W. Pueblo Street,93105,CA,29,834
Santa Barbara,133 W. Haley Street,93101,CA,30,835
Santa Barbara,24 W. Arrellaga Street,93101,CA,31,838
Santa Barbara,535 E. Yanonali Street,93103,CA,32,838
Santa Barbara,316 W. Montecito Street,93101,CA,33,834
Santa Barbara,423 Chapala Street,93101,CA,34,843
Ventura,P.O. Box 1064,93002,CA,35,844
Santa Barbara,232 E. Canon Perdido Street,93101,CA,36,835
Santa Barbara,26 W. Figueroa Street,93101,CA,39,855
Santa Barbara,24 W. Arrellaga Street,93101,CA,40,838
Santa Barbara,4129 State Street ,93110,CA,44,858
Santa Barbara ,205 W. Mission Street,93101,CA,46,860
Santa Barbara,1111 Garden Street,93101,CA,47,861
Santa Barbara,1111 Garden Street,93101,CA,48,862
Santa Barbara ,"125 Harbor Way, Marine Center Classroom",93109,CA,49,863
Santa Barbara,235 E. Cota,93101,CA,50,"864, 889"
Santa Barbara,227 W. Haley Street,93103,CA,51,865
Santa Barbara,1515 Bath Street,93101,CA,52,866
Santa Barbara,235 E. Cota Street,93101,CA,53,"867, 877, 892"
Lompoc ,109 N H Street ,93436,CA,54,869
Santa Barbara,130 E Ortega Street ,93101,CA,56,868
Santa Barbara ,125 E De La Guerra St Ste A,93101,CA,58,870
Santa Barbara ,1300 Santa Barbara St Ste A ,93101,CA,59,871
Santa Barbara,3700 State Street Ste 200 ,93105,CA,60,872
Santa Barbara ,1019 Chapala Street,93101,CA,61,873
Santa Barbara,909 La Cumbre Road,93110,CA,75,"876, 883, 884"
Santa Barbara,Leadbetter Beach,93101,CA,78,885
Santa Barbara,125 Harbor Way,93109,CA,79,886
Santa Barbara,127 E. Carrillo Street,93101,CA,80,887
Santa Barbara,2434 Bath Street,93105,CA,81,888
Santa Barbara,227 E. Arrellaga Street,93101,CA,82,890
Santa Barbara,21 E. Constance Avenue,93105,CA,83,891
Santa Barbara,305 E. Anapamu Street,93101,CA,84,893
Santa Barbara,227 W. Haley Street,93101,CA,85,894
Santa Barbara , 721 Cliff Drive,93109,CA,86,895
Santa Barbara,113 Harbor Way,93109,CA,87,896
Santa Barbara,2964 Las Canoas Road,93105,CA,88,897
Santa Barbara,601 E. Montecito Street,93103,CA,89,898
Santa Barbara,627 Bath Street,93101,CA,90,899
Santa Barbara,112 W. Cabrillo Boulevard,93101,CA,91,
Santa Barbara,906 De La Vina Street,93101,CA,92,901
Santa Barbara,21 E. Constance Avenue,93105,CA,93,902
Santa Barbara,5073 Hollister Avenue,93111,CA,94,903
Santa Barbara,5444 Hollister Avenue,93111,CA,95,904
Santa Barbara,4575 Auhay Drive,93110,CA,96,905
Santa Barbara,83 Eucalyptus Lane,93108,CA,98,906
Goleta,6067 Shirrell Way,93117,CA,100,907
Santa Barbara,2101 State Street,93105,CA,101,923
Santa Barbara ,1535 Santa Barbara Street,93101,CA,104,924
Santa Barbara,1964 Las Canoas Road,93105,CA,105,925
Santa Barbara,1455 E. Valley Road,93108,CA,106,927
Montecito,1300 E. Valley Road,93108,CA,107,928
Goleta,6586 Picasso Road,93117,CA,108,929
Goleta,5679 Hollister Avenue,93117,CA,109,930
Goleta,550 Cambridge Drive,93117,CA,110,931
Carpinteria,1111 Vallecito Road,93103,CA,111,933
Summerland,2400 Lillie Avenue,93108,CA,112,934
Santa Barbara,5444 Hollister Avenue,93111,CA,113,935
Carpinteria,100 Linden Avenue,93013,CA,114,936
Goleta,998 Sandspit Road,93117,CA,115,937
Santa Barbara,87 Parker Way,93101,CA,116,938
Goleta,5070 Cathedral Oaks Road,93111,CA,117,939
Santa Barbara,2558 Borton Drive,93109,CA,118,940
Carpinteria,1335 Vallecito Place,93013,CA,119,941
Santa Barbara,227 E. Arrellaga Street,93101,CA,120,942
Carpinteria,5300 El Carro Lane,93013,CA,121,943
Carpinteria,4610 Carpinteria Avenue,93013,CA,122,944
Santa Maria ,2125 S Broadway,93454,CA,123,873
Goleta,761 Camino Pescadero,93117,CA,124,945
Santa Barbara,816 Cacique Street,93103,CA,125,946
Goleta,5486 Calle Real,93111,CA,126,947
Santa Barbara,215 Los Aguajes Avenue,93101,CA,127,948
Santa Barbara,5018 Calle Real ,93111,CA,128,949
Santa Barbara,1915 Chapala Street,93111,CA,129,950
